,Anti-social behaviour,Bicycle theft,Burglary,Criminal damage and arson,Drugs,Location,Other crime,Other theft,Possession of weapons,Public order,Robbery,Shoplifting,Theft from the person,Time,Vehicle crime,Violence and sexual offences,Latitude,Longitude
0,3441.0,291,920.0,1346,236,Avon and Somerset Constabulary,150,1246,53,1612,126.0,1127,92,1470006000.0,990,3725,51.415233,-2.497799
1,2296.0,87,441.0,484,79,Bedfordshire Police,32,457,18,190,45.0,328,46,1470006000.0,433,998,52.224664,-0.533857
2,2376.0,402,423.0,646,108,Cambridgeshire Constabulary,71,644,27,260,28.0,393,59,1470006000.0,493,1106,52.228485,0.136532
3,2951.0,123,372.0,770,250,Cheshire Constabulary,72,589,34,897,25.0,542,58,1470006000.0,327,1617,53.335696,-2.028703
4,96.0,52,17.0,17,39,City of London Police,18,136,2,18,5.0,53,34,1470006000.0,19,84,51.517577,-0.098062
5,3888.0,84,454.0,725,104,Cleveland Police,41,489,25,171,31.0,532,43,1470006000.0,239,1220,54.71119,-1.235446
6,1191.0,44,214.0,438,80,Cumbria Constabulary,27,240,9,123,7.0,252,12,1470006000.0,136,628,54.877725,-3.380599
7,4175.0,109,520.0,688,189,Derbyshire Constabulary,90,601,37,133,39.0,526,63,1470006000.0,391,1199,53.099173,-1.376719
8,4438.0,87,612.0,1239,293,Devon & Cornwall Police,110,1031,52,552,44.0,619,109,1470006000.0,452,2552,50.827132,-4.543901
9,2595.0,121,414.0,494,139,Dorset Police,32,582,30,143,29.0,352,44,1470006000.0,320,1120,50.771593,-1.896978
10,2197.0,55,371.0,766,62,Durham Constabulary,40,359,14,137,9.0,354,14,1470006000.0,255,1050,54.89599,-1.732115
11,1630.0,21,168.0,346,209,Dyfed-Powys Police,21,279,11,66,8.0,105,11,1470006000.0,80,716,52.101675,-4.059557
12,5023.0,232,1032.0,1288,240,Essex Police,168,1154,95,711,94.0,882,180,1470006000.0,1133,3036,51.636915,0.407541
13,2290.0,78,374.0,371,77,Gloucestershire Constabulary,21,364,9,73,22.0,339,19,1470006000.0,255,597,51.908526,-2.088146
14,11773.0,428,2268.0,2849,305,Greater Manchester Police,297,1927,141,1368,394.0,1452,474,1470006000.0,2072,5102,53.619073,-2.423752
15,2011.0,47,343.0,669,114,Gwent Police,87,531,13,234,25.0,347,12,1470006000.0,382,1048,51.802661,-3.210621
16,6527.0,428,954.0,1632,392,Hampshire Constabulary,179,1010,104,1343,78.0,1061,99,1470006000.0,828,2667,51.357251,-1.133567
17,3056.0,153,409.0,814,252,Hertfordshire Constabulary,119,731,202,419,48.0,681,80,1470006000.0,524,1600,51.776773,-0.008469
18,1938.0,208,729.0,975,111,Humberside Police,109,646,25,312,59.0,626,54,1470006000.0,476,1891,54.103989,-0.201317
19,4831.0,202,838.0,1629,181,Kent Police,191,1313,62,475,117.0,936,108,1470006000.0,931,4203,51.18331,0.937911
20,7169.0,157,1045.0,1589,126,Lancashire Constabulary,107,1272,23,263,39.0,624,107,1470006000.0,939,2553,53.770335,-2.474098
21,2165.0,193,611.0,833,102,Leicestershire Police,102,765,44,238,47.0,585,64,1470006000.0,714,1366,52.626506,-1.201724
22,1939.0,107,439.0,493,125,Lincolnshire Police,52,440,25,109,17.0,415,27,1470006000.0,280,792,53.051902,0.084476
23,5569.0,178,929.0,1474,430,Merseyside Police,164,946,73,515,107.0,776,128,1470006000.0,673,2490,53.486621,-2.875002
24,25673.0,1847,5414.0,5494,3075,Metropolitan Police Service,866,9574,457,4227,1925.0,3794,3021,1470006000.0,7510,17169,51.593835,0.145888
25,2019.0,138,316.0,660,131,Norfolk Constabulary,83,465,29,345,34.0,386,39,1470006000.0,225,1433,52.745153,0.946326
26,1684.0,65,278.0,617,103,North Wales Police,39,482,18,111,9.0,368,21,1470006000.0,170,1242,53.31958,-3.811975
27,2900.0,146,373.0,476,137,North Yorkshire Police,58,452,24,156,8.0,404,45,1470006000.0,177,950,54.113705,-2.513759
28,3220.0,127,605.0,633,91,Northamptonshire Police,56,478,34,116,61.0,498,35,1470006000.0,453,1300,52.502162,-0.690547
29,5921.0,82,656.0,1762,421,Police Service of Northern Ireland,226,1152,80,115,53.0,488,29,1470006000.0,320,3017,54.59497,-5.922687
30,5664.0,240,736.0,1749,225,Northumbria Police,200,1260,92,1012,52.0,1022,94,1470006000.0,668,2904,54.967838,-1.754552
31,3321.0,169,644.0,915,198,Nottinghamshire Police,114,826,65,301,78.0,599,58,1470006000.0,556,1771,53.145769,-1.268696
32,3360.0,217,642.0,1156,288,South Wales Police,181,978,41,740,37.0,781,81,1470006000.0,644,2813,51.637363,-3.648881
33,7690.0,121,948.0,1328,161,South Yorkshire Police,147,1203,88,330,102.0,1026,99,1470006000.0,1051,2034,53.59872,-1.461068
34,3602.0,88,507.0,973,163,Staffordshire Police,135,868,44,317,57.0,603,46,1470006000.0,429,2414,52.769868,-1.943961
35,1401.0,88,231.0,592,91,Suffolk Constabulary,67,346,25,260,22.0,303,33,1470006000.0,265,1172,52.160886,0.71043
36,2132.0,120,463.0,757,148,Surrey Police,100,709,34,583,16.0,386,32,1470006000.0,399,1566,51.407868,-0.370967
37,4018.0,237,603.0,1103,268,Sussex Police,169,1149,101,824,80.0,622,149,1470006000.0,597,2819,50.84423,-0.244128
38,3743.0,519,917.0,1650,444,Thames Valley Police,182,1887,98,381,99.0,1362,383,1470006000.0,1193,2931,51.998128,-0.985426
39,1680.0,84,378.0,346,71,Warwickshire Police,47,415,33,142,21.0,251,21,1470006000.0,348,1007,52.639577,-1.636309
40,4365.0,100,842.0,858,169,West Mercia Police,107,749,47,364,57.0,593,59,1470006000.0,444,2334,52.432283,-2.10837
41,5879.0,346,1960.0,2147,334,West Midlands Police,229,1651,138,763,499.0,1702,222,1470006000.0,2488,4352,52.594185,-1.838265
42,7129.0,289,2308.0,2547,414,West Yorkshire Police,366,2267,125,1431,155.0,1499,371,1470006000.0,2084,5544,53.944327,-1.886875
43,1769.0,69,333.0,494,110,Wiltshire Police,35,366,32,213,24.0,351,35,1470006000.0,269,1171,51.634046,-1.720719
44,2822.0,311,966.0,1198,229,Avon and Somerset Constabulary,179,1257,50,1543,136.0,1105,102,1472684400.0,1027,3786,51.415233,-2.497799
45,2099.0,96,372.0,445,94,Bedfordshire Police,33,394,19,215,70.0,366,44,1472684400.0,482,898,52.224664,-0.533857
46,2327.0,363,440.0,630,119,Cambridgeshire Constabulary,88,483,36,226,43.0,401,61,1472684400.0,414,1245,52.228485,0.136532
47,2596.0,138,345.0,678,128,Cheshire Constabulary,81,456,34,819,21.0,519,49,1472684400.0,259,1686,53.335696,-2.028703
48,155.0,45,24.0,20,37,City of London Police,13,124,7,25,3.0,62,47,1472684400.0,13,73,51.517577,-0.098062
49,3912.0,108,432.0,787,97,Cleveland Police,73,509,32,164,36.0,542,40,1472684400.0,294,1223,54.71119,-1.235446
50,963.0,26,186.0,399,67,Cumbria Constabulary,23,214,13,113,4.0,281,25,1472684400.0,105,700,54.877725,-3.380599
51,3945.0,100,548.0,707,153,Derbyshire Constabulary,98,511,45,120,43.0,501,26,1472684400.0,576,1173,53.099173,-1.376719
52,4040.0,80,504.0,1187,308,Devon & Cornwall Police,117,967,67,501,39.0,544,78,1472684400.0,426,2416,50.827132,-4.543901
53,2332.0,90,365.0,544,130,Dorset Police,49,583,24,164,18.0,361,57,1472684400.0,268,1152,50.771593,-1.896978
54,2170.0,65,363.0,647,74,Durham Constabulary,63,413,11,155,23.0,335,17,1472684400.0,302,1100,54.89599,-1.732115
